word_id,word,songs,news,youtube,total,source_count,part_of_speech
a6f57854-dcd1-4c75-826b-1a58763fa6ee,אאמין,2,1,0,3,2,Verb - hif'il
7590576e-5deb-4a42-9368-ae39588611a8,אב,0,7,2,9,2,"Noun - ketel pattern , masculine, Noun - masculine"
83793cf5-ec10-4294-bf2b-b5fc6e0d7bbe,אבא,25,36,62,123,3,Noun
7427a06e-8645-489b-b346-ea1d394d9be1,אבד,2,3,0,5,2,"Verb - pa'al, Verb - pi'el"
2e8f50d2-6945-4ea7-b976-f34067b494eb,אבדה,2,1,0,3,2,"Noun - ktela pattern , feminine, Verb - nif'al, Verb - pa'al, Verb - pi'el"
67dcffec-8d7f-4bed-8cdf-68902659b3bd,אבדון,0,1,0,1,1,Noun
89797309-61c5-43a4-9ca1-da779cc32d51,אבה,0,0,1,1,1,Verb - pa'al
e9f41626-61bc-4dd4-a24e-d44be470bb88,אבו,0,6,0,6,1,Verb - pa'al
2dbd6bb9-2da6-4217-b0a0-ddda2a627310,אבוא,3,0,0,3,1,Verb - pa'al
a8c0def1-d38f-44d0-9e05-b490fc9e7e18,אבוד,3,0,0,3,1,"Adjective - katul pattern, Verb - pa'al"
9781e440-b56c-4f03-97f8-9e74ab3185c1,אבודה,7,0,0,7,1,Adjective - katul pattern
6c1617b4-f296-4a47-995c-465c3a9d4161,אבודות,2,0,0,2,1,Adjective - katul pattern
a96d5112-ac96-4a0d-848c-a158dd2b42d9,אבודים,4,0,0,4,1,Adjective - katul pattern
e3a7a9cd-fd96-411a-a829-d5fbeb495a47,אבות,1,5,0,6,2,Noun - masculine
2c97626e-31e2-4d5c-a46d-69217e85d3b1,אבותיו,1,0,0,1,1,Noun - masculine
8ae843bc-fbff-4e8a-a441-116d6124fd11,אבותינו,1,2,0,3,2,Noun - masculine
9fe0ae69-0c65-4ee8-93f5-40de00349f51,אבחון,0,3,0,3,1,"Noun - kittul pattern , masculine"
b44a3a1b-98cb-4531-b986-b0ddd0dd9b79,אבחין,1,0,0,1,1,Verb - hif'il
cb79e3d9-d285-4c5d-b38e-422998404d5b,אבחנה,0,2,0,2,1,"Noun - aktala pattern , feminine, Verb - pi'el"
5e38c4a6-e970-4af5-a13e-a820450deab1,אבטחה,0,4,0,4,1,"Noun - aktala pattern , feminine, Verb - pi'el"
d7666137-f24b-4fcc-8af8-078653e99af5,אבטחת,0,1,0,1,1,"Noun - aktala pattern , feminine, Verb - pi'el"
bfee9a9e-a0fe-4d1c-aa79-4fd745cbdaae,אבטיח,3,3,0,6,2,"Noun - masculine, Verb - hif'il"
2ab0a180-d9c4-45fe-b8b5-ef259f1a4f2c,אבטיחים,0,1,0,1,1,Noun - masculine
070160e9-ed87-4872-881e-b8095437b5e3,אבטלה,0,2,0,2,1,"Noun - aktala pattern , feminine"
25fba5b8-5e88-48f0-bc5b-b94007db2ee3,אבי,2,11,3,16,3,Noun - masculine
35692d99-d53a-49af-8aa2-09d2ab41d0dc,אביא,4,0,1,5,2,Verb - hif'il
ff82599c-1a6e-482c-9b92-e66c55cb53e2,אביב,21,94,10,125,3,"Noun - katil pattern , masculine"
fe7527b0-9890-4eb7-b5a5-a470a56e8096,אביה,0,5,1,6,2,Noun - masculine
d532dad9-6cce-4ee0-8191-50ea830abcb5,אביהן,0,1,0,1,1,Noun - masculine
70fcbf45-2ed7-49d9-bd10-6ea4a152bbac,אביו,0,7,3,10,2,Noun - masculine
b6e38428-0ea0-49d4-a2cf-b06c55c1406b,אביזרים,0,1,0,1,1,Noun - masculine
657b0c81-4eae-4470-b4f5-d3e7451e3926,אביך,0,0,1,1,1,"Adjective - katil pattern, Noun - masculine, Verb - hif'il"
385b8577-c7c9-40fc-954a-c0809d327ea2,אבין,1,0,1,2,2,Verb - hif'il
b4916f7e-7632-4507-b022-0adcae71c0af,אבינו,0,0,2,2,1,"Noun - masculine, Verb - pa'al"
52b0cd3b-92e7-49aa-b28a-13e79b004233,אביר,1,0,0,1,1,"Noun - kattil pattern , masculine"
08fe7fae-21d8-4ce1-a698-01d526188aca,אבירה,0,0,1,1,1,"Noun - kattil pattern , masculine"
13d8e384-4328-46a5-941a-86a8d674e286,אבל,319,105,167,591,3,"Conjunction, Noun - ketel pattern , masculine, Verb - pa'al"
259103ea-dfec-490a-8078-c8a54d7b4a61,אבלה,1,0,1,2,2,"Noun - ketel pattern , masculine, Verb - pa'al, Verb - pi'el"
135d4b0b-28a1-418d-909a-029efac31aac,אבלות,0,2,0,2,1,Verb - pa'al
bbf0799e-3b7e-4c4f-a846-432d297e20cc,אבלים,0,1,0,1,1,Verb - pa'al
1ef1ad41-65aa-4e4c-ac73-e6dfe725d845,אבן,1,5,1,7,3,"Noun - ketel pattern , feminine, Verb - pi'el"
e2321214-75cb-439c-9b3c-31ee66340711,אבנה,1,0,0,1,1,"Noun - ketel pattern , feminine, Verb - hif'il, Verb - nif'al, Verb - pa'al, Verb - pi'el"
405b6579-e08a-487b-9c19-82183c415d2c,אבני,0,2,0,2,1,"Noun - ketel pattern , feminine, Verb - pi'el"
ba7682e5-f4d8-47ea-8d6c-ff961517e244,אבנים,1,3,0,4,2,"Noun - ketel pattern , feminine"
cca5f736-a058-48e1-bf66-76ab04d3790d,אבק,5,1,2,8,3,"Noun - katal pattern , masculine, Verb - pi'el"
c5781ae0-4973-4586-8330-a019db4e7c1b,אבקש,3,1,0,4,2,Verb - pi'el
75317668-fab4-4799-99c1-8d67431a9110,אברח,4,0,0,4,1,Verb - pa'al
98bf049d-1f27-4bb6-93ab-b3bf9e8d340b,אגב,0,0,5,5,1,Adverb
05935a27-6faf-42fd-b042-0ee77f9bb974,אגדה,1,2,6,9,3,"Noun - aktala pattern , feminine, Noun - ketel pattern , masculine, Verb - pa'al"
2d9264de-dbdd-4781-a869-375553732d35,אגדו,2,0,0,2,1,"Noun - ketel pattern , masculine, Verb - pa'al, Verb - pi'el"
a83bf225-8499-49aa-a5df-679b57d757f9,אגדי,0,0,2,2,1,"Noun - ketel pattern , masculine, Verb - pa'al, Verb - pi'el"
cbd938fd-2c0b-45ef-a926-10fe0ac62a6d,אגדת,0,1,0,1,1,"Noun - aktala pattern , feminine, Verb - pa'al"
fea1624b-7ca4-4e0f-a523-8fb8055371c7,אגודה,0,4,0,4,1,"Noun - ktulla pattern , feminine"
effb60e4-bb9c-42f5-9244-ddbf28acecb0,אגוזי,0,2,0,2,1,Noun - masculine
982247b3-58f6-47b2-8834-57840a369ea5,אגוזים,0,2,0,2,1,Noun - masculine
65e27b78-a332-4f90-8ce8-2356167a9434,אגיד,14,2,2,18,3,Verb - hif'il
d976674a-8744-4cf5-9e6b-6b7e64bcc8e9,אגל,0,1,0,1,1,Verb - nif'al
b3df2f84-8fa1-4083-a1a4-fff44060d4e6,אגלה,1,0,0,1,1,"Verb - hif'il, Verb - nif'al, Verb - pa'al, Verb - pi'el"
238e6353-eadf-4dc0-a831-faa30de24e4c,אגם,3,4,26,33,3,"Noun - ktal pattern , masculine"
a6774279-3b7e-45f7-a9a6-c953c703572f,אגמי,0,0,3,3,1,"Noun - ktal pattern , masculine"
dd19d052-dda2-4f2d-a87f-a14e95ba52d4,אגן,1,0,0,1,1,"Noun, Verb - hif'il"
afab3c53-27df-4f44-8d5d-8ad0b44c39ff,אגסים,0,1,0,1,1,Noun - masculine
50bd8eb2-212a-4d25-8b3f-b0826e890572,אגף,0,15,0,15,1,"Noun - ktal pattern , masculine, Verb - pa'al, Verb - pi'el"
15778969-4128-4a46-8e70-2663001edd98,אגרוף,4,0,0,4,1,"Noun - kittul pattern , masculine, Noun - masculine, Verb - pa'al"
412308ea-9ca5-4c05-823c-784e1ec31de4,אגרופים,1,0,0,1,1,Noun - masculine
8012493a-86f5-410c-884b-1a796a1d2da8,אגרטלים,0,1,0,1,1,Noun - masculine
8c0394b5-b105-4700-8fe4-1cb428fb7249,אגשים,1,0,1,2,2,Verb - hif'il
e424c88d-7e0b-4797-98ba-2f9549dcc762,אדבר,1,0,0,1,1,"Verb - hitpa'el, Verb - nif'al, Verb - pi'el"
dcea4be6-9410-493c-9395-f21750f6791d,אדום,5,11,0,16,2,"Adjective - katol pattern, Verb - pa'al"
e1a5a98a-33d3-4766-bbf8-ef633321ca9c,אדומות,5,0,0,5,1,Adjective - katol pattern
d1369d27-df97-4dc3-b8a3-d8e4be1c0038,אדומים,3,2,2,7,3,Adjective - katol pattern
d49a6ee1-48f7-4532-9b87-a7e3cbea7272,אדון,1,0,1,2,2,"Noun - masculine, Verb - pa'al"
6886eabd-84cc-457c-9d9b-802346b30ab3,אדוני,0,10,3,13,2,Noun - masculine
